Reference tree: ../data/appbio11/symmetric_2.0/symmetric_2.0.tree
treefilename	Symmetric_difference
Euclidian_distance	Robinson_Foulds_distance
s235.align.1.msl.output.nwk	6
s236.align.1.msl.output.nwk	4
s237.align.1.msl.output.nwk	4
s238.align.1.msl.output.nwk	4
s239.align.1.msl.output.nwk	8
s240.align.1.msl.output.nwk	8
s241.align.1.msl.output.nwk	6
s242.align.1.msl.output.nwk	10
s243.align.1.msl.output.nwk	8
s244.align.1.msl.output.nwk	8
s245.align.1.msl.output.nwk	14
s246.align.1.msl.output.nwk	8
s247.align.1.msl.output.nwk	8
s248.align.1.msl.output.nwk	8
s249.align.1.msl.output.nwk	6
s250.align.1.msl.output.nwk	10
s251.align.1.msl.output.nwk	6
s252.align.1.msl.output.nwk	8
s253.align.1.msl.output.nwk	4
s254.align.1.msl.output.nwk	10
s255.align.1.msl.output.nwk	6
s256.align.1.msl.output.nwk	10
s257.align.1.msl.output.nwk	8
s258.align.1.msl.output.nwk	12
s259.align.1.msl.output.nwk	4
s260.align.1.msl.output.nwk	10
s261.align.1.msl.output.nwk	10
s262.align.1.msl.output.nwk	10
s263.align.1.msl.output.nwk	6
s264.align.1.msl.output.nwk	8
s265.align.1.msl.output.nwk	4
s266.align.1.msl.output.nwk	8
s267.align.1.msl.output.nwk	10
s268.align.1.msl.output.nwk	2
s269.align.1.msl.output.nwk	12
s270.align.1.msl.output.nwk	12
s271.align.1.msl.output.nwk	12
s272.align.1.msl.output.nwk	4
s273.align.1.msl.output.nwk	6
s274.align.1.msl.output.nwk	6
s275.align.1.msl.output.nwk	10
s276.align.1.msl.output.nwk	10
s277.align.1.msl.output.nwk	0
s278.align.1.msl.output.nwk	8
s279.align.1.msl.output.nwk	6
s280.align.1.msl.output.nwk	0
s281.align.1.msl.output.nwk	6
s282.align.1.msl.output.nwk	2
s283.align.1.msl.output.nwk	2
s284.align.1.msl.output.nwk	4
s285.align.1.msl.output.nwk	4
s286.align.1.msl.output.nwk	8
s287.align.1.msl.output.nwk	4
s288.align.1.msl.output.nwk	6
s289.align.1.msl.output.nwk	8
s290.align.1.msl.output.nwk	6
s291.align.1.msl.output.nwk	6
s292.align.1.msl.output.nwk	4
s293.align.1.msl.output.nwk	12
s294.align.1.msl.output.nwk	2
s295.align.1.msl.output.nwk	10
s296.align.1.msl.output.nwk	2
s297.align.1.msl.output.nwk	4
s298.align.1.msl.output.nwk	8
s299.align.1.msl.output.nwk	10
s300.align.1.msl.output.nwk	8
